user_id;Name;;Category1;;Place;City
104;arbon;;Culinary;;Goa Rancang Kencono;Jogja
105;umayyah;;Culinary;;Wisata Mangrove Tapak;Semarang
106;koreen;;Culture;;Pantai Nguluran;Jogja
107;lynia;;History;;Kampung Wisata Kadipaten;Jogja
108;ellsierose;;Tourist Attraction;;Lawang Sewu;Semarang
109;jacarey;;Culinary;;Benteng Pendem;Semarang
110;howze;;Culinary;;Monumen Palagan Ambarawa;Semarang
111;tague;;History;;Pasar Kebon Empring Bintaran;Jogja
112;ceyara;;Culture;;Pasar Beringharjo;Jogja
113;franklynn;;Culinary;;Masjid Agung Ungaran;Semarang
114;liudmila;;Tourist Attraction;;Wisata Lereng Kelir;Semarang
115;jamson;;Tourist Attraction;;Hutan Pinus Kayon;Semarang
116;nayah;;Culinary;;Semarang Chinatown;Semarang
117;ameena;;History;;Taman Pelangi Yogyakarta;Jogja
118;frayia;;Tourist Attraction;;Nol Kilometer Jl.Malioboro;Jogja
119;hachmann;;Nature;;Taman Pandanaran;Semarang
120;decato;;Nature;;Bukit Lintang Sewu;Jogja
121;barira;;Nature;; Pantai Cipta;Semarang
122;ehlijah;;Nature;;Watu Lumbung;Jogja
123;aneth;;Tourist Attraction;;The World Landmarks - Merapi Park Yogyakarta;Jogja
124;selcuk;;Nature;;Wisata Alam Wana Wisata Penggaron;Semarang
125;kinnie;;History;;Galaxy Waterpark Jogja;Jogja
126;aniecia;;Tourist Attraction;;Waduk Jatibarang;Semarang
127;jawanda;;History;;Sindu Kusuma Edupark (SKE);Jogja
128;dilkhush;;Culinary;;Brown Canyon;Semarang
129;luccia;;Nature;;Benteng Pendem;Semarang
130;deede;;Tourist Attraction;;Pintoe Langit Dahromo;Jogja
131;murland;;History;;Pantai Jogan;Jogja
132;mckenney;;Culture;;Jembatan Biru Ambarawa;Semarang
133;fredella;;Nature;;Candi Ijo;Jogja
134;bunting;;Culture;;Kota Lama Semarang;Semarang
135;gemikle;;History;;Tugu Muda Semarang;Semarang
136;fatlina;;Nature;;Pasar Kebon Empring Bintaran;Jogja
137;eddy;;Tourist Attraction;;Wisata Eling Bening;Semarang
138;kofi;;Culinary;;Kampung Wisata Kadipaten;Jogja
139;pryderi;;History;;Pantai Wediombo;Jogja
140;alarni;;Nature;;Wisata Kaliurang;Jogja
141;kiele;;Tourist Attraction;;Kampung Tematik Jawi;Semarang
142;lederrick;;Nature;;Embung Tambakboyo;Jogja
143;donaleen;;Tourist Attraction;;Watu Lumbung;Jogja
144;anashia;;Tourist Attraction;;Desa Wisata Lembah Kalipancur;Semarang
145;vassilios;;Culinary;;Kawasan Wisata Sosrowijayan;Jogja
146;purifory;;Nature;;Wisata Lereng Kelir;Semarang
147;danka;;Culinary;;Sindu Kusuma Edupark (SKE);Jogja
148;fruzsina;;Tourist Attraction;;Taman Pelangi Yogyakarta;Jogja
149;prentiss;;Tourist Attraction;;Pantai Ngrenehan;Jogja
150;geocomo;;Culture;;Pantai Marina;Semarang
151;hickson;;Nature;;Masjid Agung Ungaran;Semarang
152;shanina;;Tourist Attraction;;Waduk Jatibarang;Semarang
153;shandria;;Culinary;;Water Blaster Bukit Candi Golf;Semarang
154;inger;;Culture;;Wisata Lereng Kelir;Semarang
155;athelstan;;Culture;;Watu Goyang;Jogja
156;julien;;Culture;;Wisata Mangrove Tapak;Semarang
157;ronnika;;Nature;;Pantai Drini;Jogja
158;neve;;Tourist Attraction;;Monumen Sanapati;Jogja
159;domicella;;Culinary;;Taman Srigunting;Semarang
160;lemos;;History;;Semarang Chinatown;Semarang
161;kinverlin;;Nature;;Brown Canyon;Semarang
162;arquimedes;;Nature;;Taman Pelangi Yogyakarta;Jogja
163;anaisabella;;Nature;;Obyek Wisata Goa Kreo;Semarang
164;fedorko;;Nature;;Kampoeng Djadhoel Semarang;Semarang
165;baelor;;Culture;;Flower Farm Setiya Aji;Semarang
166;sampaio;;Culinary;;Desa Wisata Sungai Code Jogja Kota;Jogja
167;haiko;;Culture;;Pantai Jogan;Jogja
168;nasreen;;Culinary;;Pantai Jogan;Jogja
169;varshika;;Culinary;;Kampung Pelangi;Semarang
170;etsel;;Nature;;Lawang Sewu;Semarang
171;vanaja;;Culinary;;Monumen Sanapati;Jogja
172;everest;;Culinary;;Kampung Tematik Jawi;Semarang
173;albinca;;Culture;;Candi Ijo;Jogja
174;senters;;Culinary;;Taman Srigunting;Semarang
175;sabana;;History;;Desa Wisata Sungai Code Jogja Kota;Jogja
176;hombre;;Culinary;;Monumen Sanapati;Jogja
177;ortega;;Tourist Attraction;;Geoforest Watu Payung Turunan;Jogja
178;pliner;;Culture;;Pantai Parangtritis;Jogja
179;ketil;;Culture;;Alun-alun Utara Keraton Yogyakarta;Jogja
180;deadrian;;Nature;;Pantai Sundak;Jogja
181;nyria;;Tourist Attraction;;Benteng Pendem;Semarang
182;lilli;;Nature;;Waduk Jatibarang;Semarang
183;antonius;;Culture;;Durian Gardens and Tourism Education Watu Simbar;Semarang
184;rimola;;History;;Taman Kasmaran;Semarang
185;eliesel;;Culinary;;Selected Places;Semarang
186;erdell;;Tourist Attraction;;Desa Wisata Lembah Kalipancur;Semarang
187;evald;;Culture;;Pantai Nglambor;Jogja
188;andretti;;Nature;;Monumen Sanapati;Jogja
189;oshun;;Culinary;;Selected Places;Jogja
190;jelliff;;Tourist Attraction;;Puncak Gunung Api Purba - Nglanggeran;Jogja
191;seosamh;;Culinary;;Pantai Depok Jogja;Jogja
192;vitauts;;History;;Tebing Breksi;Jogja
193;godinez;;Nature;;Kota Lama Semarang;Semarang
194;tehmoor;;History;;Galaxy Waterpark Jogja;Jogja
195;rashab;;Nature;;Kampoeng Djadhoel Semarang;Semarang
196;nijha;;History;;Wisata Lereng Kelir;Semarang
197;petscher;;Culinary;;Grand Maerakaca;Semarang
198;inmar;;History;;Selected Places;Semarang
199;kaidance;;Culinary;;Hutan Pinus Kayon;Semarang
200;caite;;Culinary;;Wisata Eling Bening;Semarang
201;maycee;;Culinary;;Waduk Jatibarang;Semarang
202;burrough;;History;;Masjid Agung Ungaran;Semarang
203;swink;;Culture;;Water Blaster Bukit Candi Golf;Semarang
204;damarious;;Nature;;Masjid Agung Ungaran;Semarang
205;myesia;;Nature;;Kampoeng Kopi Banaran;Semarang
206;jaelys;;Culinary;;Monumen Palagan Ambarawa;Semarang
207;henritta;;Culinary;;Pantai Patihan;Jogja
208;korkut;;Nature;;Grand Maerakaca;Semarang
209;merin;;Tourist Attraction;;Pantai Nguluran;Jogja
210;jerquan;;Culture;;Watu Mabur Mangunan;Jogja
211;felty;;Culture;;Pantai Glagah;Jogja
212;ellett;;Nature;;Museum Kereta Ambarawa;Semarang
213;migna;;Nature;;Water Blaster Bukit Candi Golf;Semarang
214;garison;;Nature;;Candi Borobudur;Jogja
215;leisy;;Culinary;;Candi Prambanan;Jogja
216;malayah;;Tourist Attraction;;Goa Rancang Kencono;Jogja
217;meriwether;;History;;Lawang Sewu;Semarang
218;maclean;;Culture;;Desa Wisata Sungai Code Jogja Kota;Jogja
219;saphronia;;History;;Wisata Eling Bening;Semarang
220;corintha;;Culinary;;Wisata Eling Bening;Semarang
221;divesh;;History;;Wisata Kaliurang;Jogja
222;shaqir;;Culture;;Taman Pelangi Yogyakarta;Jogja
223;hasya;;Tourist Attraction;;Museum Kereta Ambarawa;Semarang
224;tillee;;Culture;;Brown Canyon;Semarang
225;umpierrez;;Culinary;;Goa Pindul;Jogja
226;asmat;;Culture;;Benteng Pendem;Semarang
227;philippe;;History;;Masjid Agung Ungaran;Semarang
228;vialli;;Tourist Attraction;;Masjid Agung Ungaran;Semarang
229;cacia;;History;;Taman Tabanas;Semarang
230;yasmeenah;;Tourist Attraction;;Nol Kilometer Jl.Malioboro;Jogja
231;lynwood;;Nature;;Kampoeng Rawa;Semarang
232;trenaris;;Culinary;;Gua Maria Kerep Ambarawa;Semarang
233;murrough;;Nature;;Pantai Patihan;Jogja
234;nonya;;History;;Bendung Lepen;Jogja
235;jessenia;;History;;Wisata Alam Wana Wisata Penggaron;Semarang
236;avanti;;Nature;;Wisata Lereng Kelir;Semarang
237;archille;;Tourist Attraction;;Pantai Depok Jogja;Jogja
238;vern;;Culinary;;Bentara Budaya Yogyakarta (BBY);Jogja
239;diamante;;Culinary;;Masjid Agung Ungaran;Semarang
240;bohun;;Tourist Attraction;;GPIB Immanuel Semarang (Gereja Blenduk);Semarang
241;bum;;Tourist Attraction;;Wisata Kalibiru;Jogja
242;kieren;;Tourist Attraction;;Tebing Breksi;Jogja
243;yesen;;Nature;;Masjid Agung Ungaran;Semarang
244;montse;;Tourist Attraction;;Air Terjun Kedung Pedut;Jogja
245;gael;;Culinary;;Water Blaster Bukit Candi Golf;Semarang
246;majour;;Culture;;Gua Maria Kerep Ambarawa;Semarang
247;rosene;;Culture;;Pantai Indrayanti;Jogja
248;alanas;;Culinary;;Pasar Beringharjo;Jogja
249;lachone;;History;;Semarang Chinatown;Semarang
250;kabria;;Tourist Attraction;;GPIB Immanuel Semarang (Gereja Blenduk);Semarang
251;naavah;;Culinary;;Taman Kasmaran;Semarang
252;jaqai;;Culinary;;Pantai Ngrenehan;Jogja
253;letwinski;;Culinary;;Lava Bantal;Jogja
254;louvine;;History;;Candi Ijo;Jogja
255;keyosha;;Nature;;Watu Lumbung;Jogja
256;ayriana;;Nature;;Benteng Pendem;Semarang
257;julessa;;Culinary;;Kawasan Malioboro;Jogja
258;yanisse;;History;;Goa Rancang Kencono;Jogja
259;sesalie;;History;;Taman Srigunting;Semarang
260;daebreon;;Tourist Attraction;;Wisata Eling Bening;Semarang
261;mcgarrah;;Culture;;Pantai Parangtritis;Jogja
262;iota;;Culture;;Pantai Nglambor;Jogja
263;edlira;;Nature;;Gua Maria Kerep Ambarawa;Semarang
264;lorre;;Culture;;Green Village Gedangsari;Jogja
265;chidumaga;;Culinary;;Wisata Eling Bening;Semarang
266;brod;;History;;Candi Prambanan;Jogja
267;tenajah;;Culture;;Brown Canyon;Semarang
268;skyanne;;History;;Kawasan Wisata Sosrowijayan;Jogja
269;arguello;;Culinary;;Taman Pelangi Yogyakarta;Jogja
270;tanjum;;History;;Bukit Wisata Pulepayung;Jogja
271;cogen;;Culture;;Old City 3D Trick Art Museum;Semarang
272;melendy;;Culture;;Monumen Serangan Umum 1 Maret;Jogja
273;amedee;;Nature;;Sindu Kusuma Edupark (SKE);Jogja
274;shatondra;;History;;Masjid Agung Ungaran;Semarang
275;rekisha;;Tourist Attraction;;Gua Maria Kerep Ambarawa;Semarang
276;chizue;;Culture;;Semarang Chinatown;Semarang
277;thebault;;Nature;;Pasar Kebon Empring Bintaran;Jogja
278;toshiaki;;History;;Monumen Palagan Ambarawa;Semarang
279;navarrie;;Culture;;Pasar Beringharjo;Jogja
280;lett;;Nature;;Masjid Kapal Semarang;Semarang
281;emmo;;Culinary;;Pantai Samas;Jogja
282;goodier;;History;;La Kana Chapel;Semarang
283;talyssa;;Culinary;;Taman Srigunting;Semarang
284;cambelle;;Culture;;Kampoeng Rawa;Semarang
285;kyran;;Nature;;Wisata Mangrove Tapak;Semarang
286;mcavoy;;Culture;;Seribu Batu Songgo Langit;Jogja
287;cardoza;;Culinary;;Kampung Tematik Jawi;Semarang
288;covan;;Culinary;;Masjid Kapal Semarang;Semarang
289;lyubka;;Culture;;Sindu Kusuma Edupark (SKE);Jogja
290;lavasia;;Culinary;;The Lost World Castle;Jogja
291;edrianna;;Nature;;Embung Tambakboyo;Jogja
292;lanna;;Culture;;Pantai Baruna;Semarang
293;danarius;;Tourist Attraction;; Pantai Cipta;Semarang
294;kaiah;;Culinary;;Alun-alun Utara Keraton Yogyakarta;Jogja
295;emanoil;;Nature;;Goa Rancang Kencono;Jogja
296;velerie;;Culinary;;Masjid Kapal Semarang;Semarang
297;shaniqa;;Tourist Attraction;;Tirto Argo Siwarak;Semarang
298;vetuta;;Culinary;;Kampoeng Rawa;Semarang
299;elverta;;History;;Galaxy Waterpark Jogja;Jogja
300;vernise;;History;;Wisata Mangrove Tapak;Semarang
301;orjola;;Tourist Attraction;;Lava Bantal;Jogja
302;eziquiel;;Nature;;Grand Maerakaca;Semarang
303;kupres;;Tourist Attraction;;Kota Lama Semarang;Semarang
304;prestero;;History;;Gua Maria Kerep Ambarawa;Semarang
305;dipesh;;Culture;;Gua Maria Kerep Ambarawa;Semarang
306;aage;;Culture;;Taman Pandanaran;Semarang
307;karmello;;Culture;;Jembatan Biru Ambarawa;Semarang
308;dewy;;Nature;;Masjid Kapal Semarang;Semarang
309;suzonne;;Tourist Attraction;;Monumen Palagan Ambarawa;Semarang
310;pancrazia;;Tourist Attraction;;Wisata Eling Bening;Semarang
311;ardi;;History;;Pantai Marina;Semarang
312;prerna;;Culinary;;Bukit Wisata Pulepayung;Jogja
313;declue;;Culture;;Pantai Parangtritis;Jogja
314;dustn;;Nature;;Selected Places;Jogja
315;sumukh;;Culinary;;Desa Wisata Pulesari;Jogja
316;hiler;;Nature;;Hutan Wisata Tinjomoyo Semarang;Semarang
317;sholto;;History;;Taman Pandanaran;Semarang
318;obsidian;;Nature;;Kota Lama Semarang;Semarang
319;brendis;;History;;Kampoeng Kopi Banaran;Semarang
320;jakelyn;;Culture;;Taman Srigunting;Semarang
321;jimmia;;Nature;;Geoforest Watu Payung Turunan;Jogja
322;selmin;;Tourist Attraction;;Obyek Wisata Goa Kreo;Semarang
323;iyanni;;History;;Kampoeng Kopi Banaran;Semarang
324;pratyusha;;Culinary;;Bunker Kaliadem Merapi;Jogja
325;giggetts;;Tourist Attraction;;Goa Rancang Kencono;Jogja
326;pelaghiea;;Culture;;The World Landmarks - Merapi Park Yogyakarta;Jogja
327;auden;;Culinary;;Desa Wisata Pulesari;Jogja
328;zuhur;;Culinary;;Taman Pelangi Jogja;Jogja
329;gamero;;Tourist Attraction;;Puncak Gunung Api Purba - Nglanggeran;Jogja
330;alzonia;;Tourist Attraction;;Watu Gunung Ungaran;Semarang
331;alaisia;;Culinary;;La Kana Chapel;Semarang
332;wilhelmine;;History;;Geoforest Watu Payung Turunan;Jogja
333;nzinga;;History;;Kebun Teh Nglinggo;Jogja
334;groome;;Tourist Attraction;;Watu Gunung Ungaran;Semarang
335;burie;;Tourist Attraction;;Grand Maerakaca;Semarang
336;zamyr;;Tourist Attraction;;Alun Alun Selatan Yogyakarta;Jogja
337;hanneke;;Culture;;Seribu Batu Songgo Langit;Jogja
338;joziyah;;Culinary;;Kawasan Malioboro;Jogja
339;skyia;;Culture;;Bentara Budaya Yogyakarta (BBY);Jogja
340;alima;;Tourist Attraction;;Saloka Theme Park;Semarang
341;finney;;Nature;;Nol Kilometer Jl.Malioboro;Jogja
342;aerick;;History;;Watu Goyang;Jogja
343;jasalyn;;Culinary;;Selected Places;Semarang
344;percy;;Tourist Attraction;;Candi Gedong Songo;Semarang
345;yamal;;History;;Kampoeng Djadhoel Semarang;Semarang
346;cesara;;Nature;;Watu Goyang;Jogja
347;jadzia;;Culture;;Lawang Sewu;Semarang
348;aryton;;History;;Taman Kasmaran;Semarang
349;marguerita;;Culinary;;Semarang Chinatown;Semarang
350;macnamara;;Nature;;Gua Maria Kerep Ambarawa;Semarang
351;hursel;;Nature;;Water Blaster Bukit Candi Golf;Semarang
352;donnas;;Culinary;;Kampung Batik Gedong Semarang;Semarang
353;bilan;;History;;Pura Giri Natha;Semarang
354;bardin;;History;;Pura Giri Natha;Semarang
355;udrea;;Nature;;Taman Kasmaran;Semarang
356;dazlynn;;Culture;;De Mata Museum Jogja;Jogja
357;mcdowell;;Culinary;;The Lost World Castle;Jogja
358;citarella;;Nature;;Taman Kasmaran;Semarang
359;keilin;;Culture;;The Lost World Castle;Jogja
360;marliz;;Nature;;Pantai Cipta;Semarang
361;fouad;;Culture;;Selected Places;Semarang
362;slinkard;;Culture;;Kampoeng Rawa;Semarang
363;keniya;;Culinary;;Pantai Krakal;Jogja
364;jaylaan;;Nature;;Saloka Theme Park;Semarang
365;azzedine;;History;;Taman Pandanaran;Semarang
366;gills;;Nature;;Indonesia Kaya Park;Semarang
367;vujica;;Nature;;Pantai Depok Jogja;Jogja
368;keiandra;;History;;Kampung Pelangi;Semarang
369;velmo;;Culture;;Green Village Gedangsari;Jogja
370;demeyer;;Tourist Attraction;;Hutan Pinus Asri;Jogja
371;maurisa;;Nature;;Pantai Glagah;Jogja
372;edmunds;;Nature;;Kampung Batik Gedong Semarang;Semarang
373;krystil;;Culture;;Pasar Beringharjo;Jogja
374;shien;;Tourist Attraction;;Saloka Theme Park;Semarang
375;benhur;;History;;Watu Mabur Mangunan;Jogja
376;jawan;;Tourist Attraction;;Semarang Chinatown;Semarang
377;kimiye;;Nature;;Pantai Indrayanti;Jogja
378;denarius;;History;;Gua Maria Kerep Ambarawa;Semarang
379;riggins;;Culinary;;Gua Maria Kerep Ambarawa;Semarang
380;petrija;;Culture;;Candi Ijo;Jogja
381;efsa;;Culinary;;Candi Gedong Songo;Semarang
382;gurolinick;;Culture;;Wisata Mangrove Tapak;Semarang
383;harmina;;History;;Pantai Sundak;Jogja
384;saundria;;Culinary;;Jurang Tembelan Kanigoro;Jogja
385;sydalee;;Tourist Attraction;;Kota Lama Semarang;Semarang
386;ikechi;;History;;Wisata Lereng Kelir;Semarang
387;labritney;;History;;Candi Ijo;Jogja
388;marcelius;;Tourist Attraction;;Taman Pelangi Jogja;Jogja
389;emagine;;Culture;;Pantai Jogan;Jogja
390;anglea;;Tourist Attraction;;Candi Gedong Songo;Semarang
391;eliyanna;;Culinary;;Bukit Lintang Sewu;Jogja
392;klah;;Nature;;Bentara Budaya Yogyakarta (BBY);Jogja
393;craighead;;Tourist Attraction;;Pantai Baruna;Semarang
394;hennley;;Culture;;Wisata Kalibiru;Jogja
395;nahsir;;History;;Masjid Agung Ungaran;Semarang
396;moshell;;Tourist Attraction;;Museum Kereta Ambarawa;Semarang
397;kazuhisa;;Nature;;Wisata Eling Bening;Semarang
398;palmyre;;History;;The Lost World Castle;Jogja
399;lujza;;Culture;;Jurang Tembelan Kanigoro;Jogja
400;erzsi;;Tourist Attraction;;Kampung Batik Gedong Semarang;Semarang
401;plott;;Nature;;Old City 3D Trick Art Museum;Semarang
402;ohana;;Culture;;Kampoeng Djadhoel Semarang;Semarang
403;kalynne;;Tourist Attraction;;Pasar Kebon Empring Bintaran;Jogja
404;geovany;;Nature;;Water Blaster Bukit Candi Golf;Semarang
405;niza;;Tourist Attraction;;Puncak Segoro;Jogja
406;lalani;;Nature;;Waduk Jatibarang;Semarang
407;ontiveros;;Nature;;Pantai Baruna;Semarang
408;luize;;Nature;;Hutan Pinus Kayon;Semarang
409;calvero;;Tourist Attraction;;Taman Srigunting;Semarang
410;anchal;;Culture;;Pasar Kebon Empring Bintaran;Jogja
411;rhiannon;;History;;Pantai Glagah;Jogja
412;claraliz;;Culture;;Taman Kasmaran;Semarang
413;jalasia;;History;;Wisata Lereng Kelir;Semarang
414;clarhe;;Culture;;Watu Lumbung;Jogja
415;jonai;;Tourist Attraction;;Pantai Drini;Jogja
416;brandy;;Tourist Attraction;;Bunker Kaliadem Merapi;Jogja
417;rakki;;Culinary;;Hutan Mangrove Kulon Progo;Jogja
418;royanna;;Culinary;;Pantai Kukup;Jogja
419;vontrice;;History;;Geoforest Watu Payung Turunan;Jogja
420;carmell;;Culinary;;The World Landmarks - Merapi Park Yogyakarta;Jogja
421;jocephus;;History;;Pantai Patihan;Jogja
422;zino;;Culinary;;Bentara Budaya Yogyakarta (BBY);Jogja
423;youlonda;;History;;The World Landmarks - Merapi Park Yogyakarta;Jogja
424;levone;;History;;Pasar Beringharjo;Jogja
425;matthewalexande;;Tourist Attraction;;Pantai Sundak;Jogja
426;walace;;Culture;;Kampung Batik Gedong Semarang;Semarang
427;daviney;;Culture;;Museum Kereta Ambarawa;Semarang
428;ravindr;;Culinary;;Kampung Tematik Jawi;Semarang
429;cullen;;History;;Air Terjun Semirang;Semarang
430;paitynn;;Culinary;;Jembatan Biru Ambarawa;Semarang
431;demontez;;Tourist Attraction;;Tebing Breksi;Jogja
432;yanushka;;Culture;;Jurang Tembelan Kanigoro;Jogja
433;delancy;;Culinary;;Indonesia Kaya Park;Semarang
434;khadra;;Nature;;Benteng Pendem;Semarang
435;aidenjoseph;;History;;Pantai Patihan;Jogja
436;mohsin;;Culinary;;Selected Places;Semarang
437;jeren;;Nature;;Alun Alun Selatan Yogyakarta;Jogja
438;domani;;Culture;;Desa Wisata Pulesari;Jogja
439;coddy;;Tourist Attraction;;Lava Bantal;Jogja
440;rykan;;Culture;;Waduk Jatibarang;Semarang
441;florencio;;Culinary;;Benteng Pendem;Semarang
442;neah;;Nature;;Sindu Kusuma Edupark (SKE);Jogja
443;laderrian;;Culture;;Goa Pindul;Jogja
444;brianca;;History;;Taman Kasmaran;Semarang
445;lunden;;Culture;;Hutan Wisata Tinjomoyo Semarang;Semarang
446;maecyn;;Culinary;;Taman Kasmaran;Semarang
447;marguy;;History;;Taman Kasmaran;Semarang
448;pacey;;Culinary;;Brown Canyon;Semarang
449;brydon;;Culinary;; Pantai Cipta;Semarang
450;cumali;;History;;Pantai Marina;Semarang
451;ratha;;Nature;;Kampung Wisata Taman Sari;Jogja
452;winstonn;;Nature;;Bentara Budaya Yogyakarta (BBY);Jogja
453;brutton;;Culinary;;Kampung Tematik Jawi;Semarang
