Event_Id,Event_Name,Description,Category,City,Price,Rating,Pelaksanaan,Regist
14,Donate Spare Computing Power ,"Your device can help provide worldsaving research on causes like stopping the Zika virus. Pick an issue you’re interested in, and World Community Grid will use your computer’s idle time to make research calculations with a promise not to affect your device’s performance.",Youth_Development,BLORA  ,151000,1,9/7/2023,6/19/2023
15,Volunteer Virtually ,Groups like the Multiple Sclerosis Association of America’s Street Squad spread the word on social media (and with local businesses if you choose) about MS events and fundraisers.,Pet_and_Animal_Service,REMBANG  ,462000,2,11/4/2023,3/22/2023
16,Plant an Extra Row in Your Garden ,Donate extra produce to a local food bank or soup kitchen. Find out more at the Association for Garden Communicators’ Plant a Row for the Hungry campaign.,Healthcare,PATI  ,485000,4,6/30/2023,10/6/2023
17,Run ,"Download an app like Charity Miles to earn money for great causes just by going on your morning jog or walking the dog. Also, check out sites such as active.com for a list of charity runs in your area.",Youth_Development,KUDUS  ,506000,3,4/24/2023,4/4/2023
18,Let the Dogs Out ,Sign up at a local shelter to give their animals muchneeded socialization and interaction. Genius Tip: Learn how a Virginia animal shelter simplified volunteer registration with SignUpGenius.,Pet_and_Animal_Service,JEPARA  ,422000,3,6/7/2023,6/16/2023
19,Get Geeky ,"Great at technology? Volunteer with Peace Geeks, a group that puts technology in the hands of humanitarian organizations.",Healthcare,DEMAK  ,209000,5,10/30/2023,10/10/2023
20,Find Your Niche ,Use a site like Catchafire to find out what organizations need your specific set of skills.,Youth_Development,SEMARANG  ,552000,4,10/10/2023,9/20/2023
21,Start Scouting ,Reach out to your local Girl Scout or Boy Scout group to see if they need any chaperones or volunteers to help with troop activities. Genius Tip: Organize a Girl Scout cookie booth with SignUpGenius.,Pet_and_Animal_Service,TEMANGGUNG  ,842000,2,5/13/2023,4/23/2023
22,Be a Bookworm ,"If you love books and reading, call your local public library to see if the staff needs volunteers to read to children, check in books or complete administrative tasks.",Healthcare,KENDAL  ,879000,5,5/18/2023,4/28/2023
23,Tutor a Child ,Talk to your local school about tutoring opportunities. Most will jump at the chance for you to work with students who need extra help.,Youth_Development,BATANG  ,187000,2,8/10/2023,9/18/2023
24,Host a Car Wash ,"Grab some friends and spend a Saturday cleaning cars for cash, then donate the proceeds to your charity of choice. Make sure to publicize where the funds will go ahead of time. Genius Tip: Organize car wash volunteer shifts with an online sign up.",Youth_Development,PEKALONGAN  ,142000,4,2/21/2023,1/2/2023
25,Buy in Bulk ,Shop and then drop (your purchase off at a donation center). Next time you find that oncein,Pet_and_Animal_Service,PEMALANG  ,567000,1,10/4/2023,3/21/2023
26,Teach Tech ,Help a senior citizen learn how to use technology such as a computer or smartphone. You can contact a local senior center for a list of potential candidates.,Healthcare,TEGAL  ,984000,4,3/21/2023,1/3/2023
27,Help Get Kids Get Active ,"Encourage children to become physically fit by volunteering with groups such as Play60, the National Football League’s youth fitness campaign. Opportunities include Helping_Neighbors_in_Need with physical fitness activities in school, fundraising for after school programs and more. Another great group is Girls on the Run.",Youth_Development,BREBES  ,871000,5,9/19/2023,8/30/2023
28,Create and Maintain a Little Free Library ,These small outdoor hutches are full of books that you can take for free. They also make it just as easy to donate your own titles.,Pet_and_Animal_Service,MAGELANG  ,906000,1,12/15/2022,11/25/2022
29,Stay at the YMCA ,Help run a children’s program at your local YMCA or volunteer to help with an annual fundraising initiative. Genius Tip: Watch how a Charlotte YMCA uses SignUpGenius to organize its children’s consignment sale.,Healthcare,SURAKARTA  ,860000,5,1/24/2023,4/1/2023
30,Join a Nonprofit Board ,"Sites like Volunteer Match allow nonprofits to post openings for board positions, often based on areas of expertise like marketing, real estate development and more, so you can share your specific gift with those who need it.",Youth_Development,SALATIGA  ,509000,3,6/18/2023,5/29/2023
31,Put on a Show ,"If you’re musically inclined, cheer up patients in hospitals with a live miniconcert through Musicians on Call.",Pet_and_Animal_Service,SEMARANG  ,488000,5,6/13/2023,5/24/2023
32,Code for a Cause ,Use your technical knowledge to help the government improve its services through Code for America.,Healthcare,PEKALONGAN  ,391000,1,11/26/2022,6/11/2022
33,Host an Exchange Student ,It’s a great way for your family to learn about another culture while teaching someone else about yours. Talk to your local school about programs or visit Academic Year in America.,Youth_Development,TEGAL  ,706000,2,5/23/2023,3/5/2023
34,Become a Coach ,"Volunteer to lead a child’s sports team through your local school, church or recreation department.",Pet_and_Animal_Service,KULON PROGO ,530000,1,5/15/2023,4/25/2023
35,Serve Food ," Contact a soup kitchen or other hot meal service in your city. These centers may need extra help on the holidays, and they are likely to need dayto",Healthcare,BANTUL  ,838000,1,7/21/2023,1/7/2023
36,Spread Learning ,Read to kids at a local school or daycare. Genius Tip: Organize story time volunteers with an online sign up.,Youth_Development,GUNUNG KIDUL ,407000,5,2/13/2023,1/24/2023
37,Lend an Ear ,"Visit a local nursing home or senior center to play cards, eat lunch or just chat with residents.",Healthcare,SLEMAN  ,891000,1,3/29/2023,9/3/2023
38,Be a Landscaper ,Offer to plant flowers and plants in public areas and rightof,Youth_Development,YOGYAKARTA  ,443000,3,12/27/2022,7/12/2022
39,Build a Home ,Work with an organization like Habitat for Humanity to build a house for a family in need.,Pet_and_Animal_Service,PACITAN  ,301000,2,9/1/2023,12/20/2022
40,Send Care Packages ,"Think about troops overseas. Someone in your congregation likely has a family member who’s deployed, so you could “adopt” his or her unit. Otherwise, check out organizations like Operation Shoebox for tips on how to get your packages together.",Healthcare,PONOROGO  ,203000,3,6/11/2022,10/17/2022
41,Clean Up ,Spend a day cleaning up a local park. Your city or county’s parks and recreation department will be glad to help you figure out how. Genius Tip: Plan volunteer shifts for a community cleanup with an online sign up.,Youth_Development,TRENGGALEK  ,198000,5,8/20/2023,7/31/2023
42,Send Encouragement ,"Write letters to missionaries. If your church doesn’t currently have anyone in the field, call the main governing body of your denomination to find out who needs to hear from supportive church members.",Pet_and_Animal_Service,TULUNGAGUNG  ,226000,3,4/13/2023,3/24/2023
43,Pray ,Create a prayer list and update website for congregants who are sick or otherwise going through a tough time. CaringBridge is another great resource to keep people updated on illnesses. Genius Tip: Create prayer shifts with an online sign up.,Healthcare,BLITAR  ,393000,5,9/1/2023,12/20/2022
44,Hold a Blood Drive ,"The American Red Cross and local blood banks are always looking for organizations to host. Not only will you be Helping_Neighbors_in_Need the community, you’ll also bring people to your church’s physical location, perhaps for the first time.",Youth_Development,KEDIRI  ,885000,5,12/6/2023,5/23/2023
45,Offer to Cook ,Bring a meal to a local police/fire station (bonus points if it’s on a holiday or during the third shift).,Youth_Development,MALANG  ,993000,1,12/30/2022,10/12/2022
46,“Adopt a Mile” ,"Sponsor a section of roadway to clean up. Visit your state’s Department of Transportation website to find out which areas of road are available for “adoption,” then make it a priority for yourself or your group to keep that stretch free of litter and debris.",Pet_and_Animal_Service,LUMAJANG  ,159000,1,1/4/2023,12/3/2023
47,Host a Motivational Speaker ,"Select someone who has dealt with a personal challenge, such as illness or addiction, that could inspire community members to overcome obstacles in their lives.",Youth_Development,JEMBER  ,904000,5,9/12/2022,11/19/2022
48,Throw a Birthday Party ,Make a day special — complete with cake and presents — for a child or family affected by homelessness. Go through a local shelter or research nonprofit groups in your area. Genius Tip: Watch how a Charlotte nonprofit uses SignUpGenius to throw birthday parties for disadvantaged children.,Pet_and_Animal_Service,BANYUWANGI  ,985000,4,3/26/2023,6/3/2023
49,Visit the Homebound , Bring fellowship home to people who are not able to attend church. Get the whole congregation involved by using SignUpGenius to sign up for dates to visit and bring meals.,Healthcare,BONDOWOSO  ,761000,2,4/3/2023,12/2/2023
50,Host a Free Children’s Event ,"Include games, music, inflatables and other kidfriendly attractions. It will be an opportunity for families from all walks of life to enjoy a day of fun without worrying about cost.",Youth_Development,SITUBONDO  ,983000,4,4/22/2023,2/4/2023
51,Clean Out Your Closet ,"Give gently used clothes to an organization like Dress for Success, which provides attire to women as a means of Helping_Neighbors_in_Need them achieve selfsufficiency. Other good options include homeless shelters and mission",Pet_and_Animal_Service,PROBOLINGGO  ,463000,3,2/21/2023,1/2/2023
52,Give Your Loose Change ,"Keep a jar next to the washing machine to collect loose change, and then donate it to your charity of choice once it’s full.",Healthcare,PASURUAN  ,741000,5,4/30/2023,10/4/2023
53,Give Blood or Platelets ,"If you can handle needles, contact a local blood bank to sign up to donate.",Youth_Development,SIDOARJO  ,663000,4,8/28/2023,8/8/2023
54,Be a Mentor ,"Donate your time to Big Brothers, Big Sisters, an organization that provides support and mentoring to youth.",Pet_and_Animal_Service,MOJOKERTO  ,216000,5,11/14/2022,10/25/2022
55,Bring a Meal ,"Cook a meal for a family with a new baby, sick family member or other personal circumstance that may make it tough for them to cook. Genius Tip: Use SignUpGenius to create a rotating meal schedule with the person’s friends and family.",Healthcare,JOMBANG  ,277000,3,10/2/2023,1/21/2023
56,Donate Used Books ,"A public or school library is a good place to start, but think about prisons and homeless shelters as well.",Youth_Development,NGANJUK  ,303000,4,8/28/2023,8/8/2023
57,Become an Organ Donor ,"This is an easy way to do some good after you’re gone. Simply designate that you’re a donor on your driver’s license and if you were to die in a tragedy, your organs could potentially provide lifesaving help to another person.",Pet_and_Animal_Service,MADIUN  ,573000,5,4/11/2022,10/15/2022
58,Donate Your Gently Worn Shoes ,Organizations such as Soles for Souls provide footwear to impoverished people around the world.,Healthcare,MAGETAN  ,229000,5,9/12/2022,11/19/2022
59,Save Old Eyeglass Frames ,Donate them to an organization like Lions Club International that will clean up and pass glasses along to needy people with vision problems.,Youth_Development,NGAWI  ,206000,5,4/12/2022,11/14/2022
60,Pass Along Your Ride ,"Ready to upgrade? Consider donating your old car to a charity like Cars Helping_Neighbors_in_Need Veterans, which will tow your car for free, sell it and use the money to provide food, shelter and other services to wounded veterans.",Pet_and_Animal_Service,BOJONEGORO  ,597000,4,2/16/2023,1/27/2023
61,Provide Stuffed Animals ,"When it’s time to clean out your kids’ rooms, find out if your local police or fire station takes donations of old stuffed animals, toys and books. First responders can give these items to children affected by fires, accidents, illness, homelessness and more. Organizations like SAFE — Stuffed Animals for Emergencies — also accept these donations.",Healthcare,TUBAN  ,918000,5,10/3/2023,2/18/2023
62,Give the Gift of Movie Night ,"Give those old DVDs to an organization like Kid Flicks, which creates movie libraries for children’s hospitals and pediatric wards all over the country.",Youth_Development,LAMONGAN  ,677000,5,9/17/2023,8/28/2023
63,Transfer Tech ,"If you’re buying a new desktop or laptop computer, consider donating your old one to Gift My PC, which will refurbish and donate it to nonprofit organizations and schools. This is also a great option for when your whole office is getting an equipment upgrade.",Pet_and_Animal_Service,GRESIK  ,968000,3,3/22/2023,2/3/2023
64,Donate Old Medical Equipment ,"Items such as wheelchairs, oxygen and nebulizer supplies, IV stands and more can go to an organization like Project C.U.R.E. that will pass them along to resourcelimited hospitals.",Healthcare,BANGKALAN  ,452000,4,3/6/2023,5/14/2023
65,Get a Haircut ,"Ready to chop off your locks? Donate your hair to an organization such as St. Baldricks, Locks for Love or Wigs For Kids, organizations that create wigs for individuals with cancer and other medical conditions.",Youth_Development,SAMPANG  ,633000,2,6/28/2023,8/6/2023
66,Cents Ability Classroom Set-up,Help us set up a new training classroom to teach young adults personal finance!,Strengthening_Communities,BUTON,990000,1,8/28/2023,8/8/2023
67,Mentor Homeless Youth,Mentor homeless children between the ages of 2 to 12 at our weekend enrichment program.,Education,SURAKARTA,676000,2,8/29/2023,9/8/2023
68,"Journalism, Copywriting, Creative Writing Opportunity","Are you interested in journalism, research, writing and editing, volunteer with us!",Education,ACEH TIMUR,344000,4,9/15/2023,8/26/2023
69,Volunteers Needed for Senior Lunch Program!,"In celebration of Father's Day, we invite fathers and their son or daughter to volunteer at our Senior Lunch Program this Sunday, June 19th at 12pm.",Helping_Neighbors_in_Need,BOVEN DIGOEL,900000,4,10/10/2023,9/20/2023
70,Special Events Assistant,The Police Athletic League of New York City seeks talented and creative volunteers to assist with the planning and delivery of special events hosted by PAL throughout New York City. Our events cater to youth and adults and are fun filled.,Strengthening_Communities,METRO,319000,2,7/21/2023,1/7/2023
71,Stage Design,Helping_Neighbors_in_Need children 6-12 design a stage for a December 3 production.,Strengthening_Communities,KEPULAUAN SULA,892000,4,10/22/2023,2/10/2023
72,Special Events Assistant,"Jewish Home Lifecare is seeking volunteers to assist with event set-up and transport of residents to special events activiteis on holidays, weekends, and during evenings",Helping_Neighbors_in_Need,BATANG,432000,2,4/29/2023,9/4/2023
73,Artist Volunteer Opportunities,Artists Striving to End Poverty in New York City is seeking artist volunteers to work in New York City.,Helping_Neighbors_in_Need,LUWU UTARA,626000,3,10/3/2023,2/18/2023
74,Volunteer for Earth Day Events,"Please volunteer for Earth Day events on April 21st, 22nd, or 23rd.",Environment,PEKALONGAN,186000,5,2/5/2023,12/4/2023
75,Street Vendor Project - Join Our Monthly Outreach Team!,"Share information with NYC's street vendors about their rights and responsibilities. Get to know another dimension the city,",Strengthening_Communities,KUPANG,822000,1,4/12/2022,11/14/2022
76,Finance Assistant,"ARTs East New York is looking for open-minded, motivated volunteers with an interest in the arts and community development to further the mission of our organization. Volunteers should have strong work ethic and willingness to explore the idea of using the arts as a tool for change.",Strengthening_Communities,LUMAJANG,404000,5,8/7/2023,6/18/2023
77,Design Education Volunteer Opportunities,"Volunteering at the Center for Architecture Foundation is a great way to contribute to the community, learn new skills, and have fun! We have volunteer opportunities to suit every interest.",Strengthening_Communities,KONAWE UTARA,595000,1,2/18/2023,1/29/2023
78,Street Games in Harlem's Thomas Jefferson Park,"Street Games is an event that brings thousands of kids and adults alike out to learn (or relive) some of the classic street games from the 60â€™s and 70â€™s and reintroduce them to a new generation with a modern twist! Held in Thomas Jefferson Park on Saturday, May 7th from 11:00 a.m. to 3:00 p.m.",Health,NUNUKAN,426000,5,6/28/2023,8/6/2023
79,Volunteer at an Art Gallery Dedication,"This dedication is of the Nottage Community Art Gallery for Ruby Nottage, the mother of famed playwright, Lynn Nottage.",Strengthening_Communities,ENREKANG,393000,1,8/3/2023,2/16/2023
80,Social Media Campaign for Professionals,"A social media campaign is a focused marketing push toward an organization's goal, whether it's boosting attendance at an event, fundraising for a specific project, or spreading awareness about a program or issue.",Strengthening_Communities,KEEROM,618000,5,10/11/2022,10/21/2022
81,Hudson River Clean-up,Join Friends and the Hudson River Park Trust in our efforts to help care for the more than 400 acres of water in Hudson River Park's Estuarine Sanctuary. The Clean Sanctuary Campaign has been created to remove debris from the river as floatables arrive daily with the tide.,Environment,LABUHAN BATU,231000,1,12/17/2022,11/27/2022
82,Conversation Leader,Teacher's assistant for one hour per week in the Bronx,Helping_Neighbors_in_Need,CILACAP,881000,2,1/10/2023,11/9/2023
83,Get the tools to volunteer for Recycling!,Recycling in the city has declined and we need YOU to help get NYC recycling again! Volunteers will work with OROE's borough-wide coordinators to teach New Yorkers to recycle more and waste less.,Strengthening_Communities,PAKPAK BHARAT,960000,2,10/5/2023,4/20/2023
84,Winter Literacy Night!,Take part in a fun night of reading and creating crafts with children!,Education,SUNGAI PENUH,638000,3,11/19/2022,10/30/2022
85,National Sexual Assault Online Hotline Volunteer,"RAINN (Rape, Abuse & Incest National Network) is seeking volunteers in the New York City area to assist with the National Sexual Assault Online Hotline.",Helping_Neighbors_in_Need,TAPANULI UTARA,168000,5,5/28/2023,8/5/2023
86,Math Tutor,Tutors wanted to help students in grades 3-5 learn basic math skills.,Education,JEMBER,763000,3,1/22/2023,2/1/2023
87,Help NYC Veterans,"On Thursday, April 21st our partners at America Works, and HRA Food Stamp Nutrition and Outreach Program (FSNOP) will be on-site at the Mayorâ€™s Office of Veteransâ€™ Affairs (MOVA) 346 Broadway, Room 817 to assist veterans seeking employment and apply for Food Stamps.",Helping_Neighbors_in_Need,YAHUKIMO,718000,2,6/30/2023,10/6/2023
88,Get the tools to volunteer for Recycling!,Recycling in the city has declined and we need YOU to help get NYC recycling again!,Environment,PASAMAN BARAT,649000,3,4/16/2023,3/27/2023
89,Seeds in the Middle - Soccer Registration Administrator,"We are looking for an individual to help with registration and outreach for our soccer programming. Tasks include administrative duties, data entry, emails and calls, and designing flyers.",Strengthening_Communities,TABANAN,244000,4,12/28/2022,8/12/2022
90,Storytelling for Professionals,A compelling story is vital to almost every successful communication product. Well-told short stories enable an organization to get messages across to the public and supporters in an engaging and accessible manner.,Strengthening_Communities,BANJARMASIN,961000,1,10/31/2022,11/10/2022
91,Friendly Visitor for Older Adults,Looking for an Older Adult Friendly Visitor who can provide general companionship and general assistance to seniors in the community.,Helping_Neighbors_in_Need,LABUHAN BATU SELATAN,587000,4,4/21/2023,1/4/2023
92,American Cancer Society Coaches vs. Cancer Committee Opportunity,"The American Cancer Society Coaches vs. Cancer program leverages personal experiences, community leadership and professional excellence of athletes, coaches and fans nationwide through special events and awareness activities.",Health,BONE BOLANGO,800000,3,12/6/2023,5/23/2023
93,Communications Materials Review for Professionals,"he focus of this project is to review an organization's existing media and communications documents and ensure that an organization's message is delivered effectively via marketing materials, organization background documents, presentations, speeches, photos, videos, and more.",Strengthening_Communities,ALOR,613000,3,2/21/2023,1/2/2023
94,Video Editing for Professionals,"Video is a powerful medium. It helps an organization tell engaging stories, bring attention to a cause, and communicate its value and effectiveness to a wide audience",Strengthening_Communities,JEMBRANA,257000,1,1/7/2023,11/6/2023
95,Come Volunteer at our Great Strides Walks,"The Great Strides walk program is our organizationâ€™s premier fundraising initiative. Each year throughout the months of May and June, thousands of New Yorkers join together to walk towards a cure for cystic fibrosis. CF is an inherited chronic disease that affects the lungs and digestive system.",Strengthening_Communities,DONGGALA,208000,5,8/13/2023,7/24/2023
96,2011 Dumbo Arts Festival,"The 2011 Festival will take place on September 23, 24, & 25th. This year we are searching for volunteers who can devote some of their time between Friday, September 16th and Thursday, September 22nd, as well as, the three days of the Festival itself.",Strengthening_Communities,MINAHASA,400000,5,12/31/2022,11/12/2022
97,Event Publicity for Professionals,"Event publicity generates buzz about an organization's event. Publicity can increase numbers of attendees traditionally, by reaching out to media for coverage in advance of the event, and directly, through social media.",Strengthening_Communities,BENER MERIAH,310000,5,11/25/2022,5/11/2022
98,Leadership Counselor for High School Youth,"Tutor and Mentor with YALLA (Young Arabs, Learning, Leading, Advancing), the high school youth program at the Arab American Association of New York.",Education,JAKARTA TIMUR,940000,1,9/11/2022,10/20/2022
99,JASA Nutrition Workshop Volunteer info session,Learn more about how you can help with our Nutrition Workshop series.,Health,BANGLI,925000,5,4/22/2023,2/4/2023
100,Personal Shopper,Personal Shoppers work one-on-one with Dress for Success clients to help select their interview suit. Personal shopping is a wonderful way to boost womenâ€™s confidence and make a direct impact on our clientsâ€™ lives.,Helping_Neighbors_in_Need,LAMPUNG UTARA,493000,1,2/6/2023,5/13/2023
101,Queens-Fitness Instructor for Shape Up NYC,"Yoga instructor needed at Roy Wilkins Recreation Center in Jamaica, Queens.",Health,KENDARI,483000,1,10/25/2023,5/10/2023
102,Community Clean Up at Asbury Cementary in Staten Island,Clean up of abandoned cemetery on Staten Island,Strengthening_Communities,PONTIANAK,414000,5,8/14/2023,7/25/2023
103,August Movie Event volunteers needed in Queens,"Volunteers at this event will make popcorn, paint faces, and lead games. The movies will be shown in the Far Rockaway Beach area of Queens.",Strengthening_Communities,BANGGAI LAUT,831000,4,8/30/2023,10/8/2023
104,Volunteer at Back to School Event-Queens,"Join other volunteers for a back to school event in Forest Park, Queens.",Strengthening_Communities,BUTON UTARA,153000,1,6/1/2023,12/17/2022
105,Making Strides Against Breast Cancer Volunteers Needed,"Help out the American Cancer Society in Central Park on October 16, 2011!",Health,ACEH SINGKIL,860000,2,6/15/2023,5/26/2023
106,Turtle Bay Music School Decorating Party!,Join us at Turtle Bay Music School for our Cocktails & Cobwebs decorating party!,Health,BOLAANG MONGONDOW,701000,4,7/20/2023,6/30/2023
107,Use Your Skills To Help Others - 55+ Only,Provide Youth and Adults with New Skills.,Helping_Neighbors_in_Need,BITUNG,360000,2,9/21/2023,1/9/2023
108,Bike New York Volunteer,"Bike New York is looking for intern to help with event organization, and behind the scenes work.",Health,BINJAI,981000,2,2/9/2023,8/13/2023
109,Motion Graphics Video for Professionals,"A motion graphics video offers a simple, visually engaging way to introduce an organization to a wider audience. Unlike traditional video, a motion graphics focuses on visual content or still images, so there is no need for a film shoot.",Strengthening_Communities,TIMOR TENGAH UTARA,910000,1,7/18/2023,6/28/2023
110,Row New York Afterschool Volunteer Tutor for Middle School,"Volunteer your time to work alongside an all-girls, middle school rowing team, Helping_Neighbors_in_Need them succeed in academics during after-school time.",Education,KEPULAUAN TALAUD,179000,3,2/13/2023,1/24/2023
111,Computer Teacher,"Teacher of Basic Computer Skills such as browsing, MS word, Excel, etc.",Helping_Neighbors_in_Need,FAKFAK,139000,3,9/13/2023,8/24/2023
112,Garden Crew,Help care for our vegetable garden beds where all our produce will be donated to local food pantries.,Environment,BOGOR,373000,3,3/30/2023,10/3/2023
113,Outreach and Marketing Assistant,"NIP is looking for a person who would like to assist our Director of Communications and Community Outreach in informing the community of the availability of our services by communicating directly with patients and with referal sources through marketing, media and special events.",Strengthening_Communities,SURABAYA,800000,1,6/25/2023,5/6/2023
114,Park Volunteer,Help Clean and Spruce Up Gorman Park,Strengthening_Communities,OGAN KOMERING ULU SELATAN,661000,4,12/22/2022,2/12/2022
115,Information Technology Support,Provide IT and network support at community based organizations in New York City who are currently partnering with iGotITtoo.,Strengthening_Communities,KEPULAUAN MENTAWAI,603000,2,8/27/2023,7/8/2023
116,GED Instructer Needed!,Instruct adults lacking HSD/GED in preparation for the GED exam in a small group setting in Harlem.,Helping_Neighbors_in_Need,SIGI,163000,2,9/15/2023,8/26/2023
117,TimeBanksNYC: THE GREAT EXCHANGE,Join us at the largest timebanking event in New York City!,Helping_Neighbors_in_Need,KEBUMEN,700000,4,10/4/2023,3/21/2023
118,Handyman Needed!,Someone needed for various repairs.,Helping_Neighbors_in_Need,SARMI,450000,2,4/23/2023,3/4/2023
119,Apartment Building Recycling Initiative,Promote recycling in your apartment building!,Environment,MALUKU BARAT DAYA,377000,1,10/2/2023,1/21/2023
120,Crowdfunding for Professionals,"Crowdfunding is people pooling their money together, usually via the Internet, to support an idea or effort initiated by a person or organization. Crowdfunders can build up and nurture a community of like-minded individuals who genuinely want to see one another succeed.",Strengthening_Communities,MALANG,446000,1,6/1/2023,12/17/2022
121,Volunteer at CMA's Annual Family Benefit,"Volunteers needed for our exciting Family Benefit at Webster Hall, May 22, 2011!",Strengthening_Communities,NATUNA,886000,4,11/9/2023,8/22/2023
122,Thanksgiving Feeding of the Needy 2011,Volunteers to pack boxes of Turkey Dinners on Nov.22,Strengthening_Communities,PUNCAK,479000,5,9/30/2023,10/9/2023
123,Storytelling,Literacy volunteers needed to read books aloud to children on Saturdays.,Education,BIMA,661000,3,5/27/2023,7/5/2023
124,Vision and Mission Analysis for Professionals,"A vision and mission analysis helps an organization identify how it wants to change the world, who it wants to serve, and how it will accomplish its goals. Organizations often revise their vision, mission, and aspirations at strategic milestones such as new leadership.",Strengthening_Communities,SIMALUNGUN,592000,4,12/20/2022,11/30/2022
125,Make a difference in a young person's life: Become a Middle School Mentor Today!,"Work in a supported mentoring program with middle school students in Brooklyn, 3 days per week during the school day. Individuals interested in a career in teaching are encouraged to apply.",Education,CIANJUR,423000,5,8/16/2023,7/27/2023
126,Beach Clean Up,Lend your hands for the environment. Help keep New York coasts clean and free of debris. Celebrate the earth.,Environment,NIAS UTARA,718000,4,1/18/2023,12/29/2022
127,Volunteers Needed For Rise Up & Stay Put! Home Rescue Fair,"Building on successful events last summer and earlier this year in the Bronx and in Queens, the Center for NYC Neighborhoods (CNYCN) and its partners are now organizing the last 2011 Rise Up & Stay Put! Home Rescue Fair. It will be on Saturday, July 30 at Long Island University in Brooklyn.",Environment,JAMBI,849000,3,3/15/2023,2/23/2023
128,Fundraising Inern,"ARTs East New York Inc. is looking for open-minded, motivated volunteer with an interest in the arts and community development to further the mission of our organization. Volunteer should have strong work ethic and willingness to explore the idea of using the arts as a tool for change.",Strengthening_Communities,TULUNGAGUNG,128000,5,12/26/2022,6/12/2022
129,Dance/Drama Instructor,"We are seeking an instructor for our youth dance/drama workshop. Mon and Wed 3p-5p. The students will be conducting a production of ""The Wiz"". Instructor will be responsible for creating all lesson plans and reports. ARTs East New York Inc. artseastny.com",Education,BUTON SELATAN,159000,5,1/5/2023,11/4/2023
130,Youth Service Day: Neighborhood Festival 2011,Join KHCC and Horace Mann High School for a celebration of service learning!,Education,LAMPUNG TIMUR,915000,5,6/1/2023,12/17/2022
131,It's Never A Bad Time to Make A Friend--55+ Only,Community Services-Nazi Victim Friendly Visitor Program. This friendly visiting program serves as the last surviving relative to the victims of the Nazi Persecution. Supported by social workers these are people who would benefit from a friendly visitor who can spend an hour a week with clients.,Helping_Neighbors_in_Need,BANJAR,829000,4,4/29/2023,9/4/2023
132,"Office Support, Volunteer Recruitment and Personnel Opportunities","Office support - Provide office support, office management, database management, desktop publishing, word processing and any other office work Volunteer Recruitment & Personnel - Recruit, supervise and communicate with volunteers and interns in our office and all over the world",Strengthening_Communities,BENGKALIS,339000,3,1/17/2023,12/28/2022
133,Red Hook Family Festival,Public event for families with crafts and activities,Strengthening_Communities,INDRAGIRI HULU,674000,5,11/26/2022,6/11/2022
